2022-01-19:10:35:44,716 DEBUG    [connectionpool.py:228] Starting new HTTP connection (1): localhost:5000
2022-01-19:10:35:46,985 DEBUG    [connectionpool.py:456] http://localhost:5000 "POST / HTTP/1.1" 200 53
2022-01-19:10:35:47,304 INFO     [send_to_server.py:60] name: 43prabal created succesfully!  send to other server
2022-01-19:10:35:47,304 INFO     [send_to_server.py:82] fetch result:  []
2022-01-19:10:36:43,570 DEBUG    [connectionpool.py:228] Starting new HTTP connection (1): localhost:5000
2022-01-19:10:36:45,751 DEBUG    [connectionpool.py:456] http://localhost:5000 "POST / HTTP/1.1" 200 53
2022-01-19:10:36:45,860 INFO     [send_to_server.py:59] name: 75prabal created succesfully!  send to other server
2022-01-19:10:36:45,860 INFO     [send_to_server.py:81] fetch result:  []
2022-01-19:10:37:48,6 DEBUG    [connectionpool.py:228] Starting new HTTP connection (1): localhost:5000
2022-01-19:10:37:50,141 DEBUG    [connectionpool.py:456] http://localhost:5000 "POST / HTTP/1.1" 500 None
2022-01-19:10:37:50,251 INFO     [send_to_server.py:67] {'message': 'name: 31prabal created succesfully! but not send to other server'}
2022-01-19:10:37:50,251 INFO     [send_to_server.py:81] fetch result:  [('prabal', '31prabal', 0)]
2022-01-19:10:37:50,251 INFO     [send_to_server.py:85] sending remaining data
2022-01-19:10:37:50,251 DEBUG    [connectionpool.py:228] Starting new HTTP connection (1): localhost:5000
2022-01-19:10:37:52,292 DEBUG    [connectionpool.py:456] http://localhost:5000 "POST / HTTP/1.1" 500 None
2022-01-19:10:37:52,292 INFO     [send_to_server.py:103] updating data
2022-01-19:10:37:52,637 INFO     [send_to_server.py:108] 31prabal successfully send to other server
2022-01-19:10:37:52,637 INFO     [send_to_server.py:116] Host is down
2022-01-19:10:40:40,146 DEBUG    [connectionpool.py:228] Starting new HTTP connection (1): localhost:5000
2022-01-19:10:40:42,253 DEBUG    [connectionpool.py:456] http://localhost:5000 "POST / HTTP/1.1" 200 53
2022-01-19:10:40:42,425 INFO     [send_to_server.py:59] name: 94prabal created succesfully!  send to other server
2022-01-19:10:40:42,425 INFO     [send_to_server.py:81] fetch result:  []
2022-01-19:10:40:51,793 DEBUG    [connectionpool.py:228] Starting new HTTP connection (1): localhost:5000
2022-01-19:10:40:54,38 DEBUG    [connectionpool.py:456] http://localhost:5000 "POST / HTTP/1.1" 200 53
2022-01-19:10:40:54,210 INFO     [send_to_server.py:59] name: 97prabal created succesfully!  send to other server
2022-01-19:10:40:54,210 INFO     [send_to_server.py:81] fetch result:  []
